Waybill Date,Origin,Origin-St,Destination,Destination-St,Commodity,Railcars-Containers,Rail-Miles,Net-Weight-Tons,Metric-Tonnes,Rail-km,Rail-GHG-Emissions-Tonnes,Truck-GHG-Emissions-Tonnes
2024-09-06,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Rhubarb,1,766.3,24,21.77,1233.21,0.34,2.07
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Barley,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Llamas,1,2757.8,9,8.16,4438.13,0.46,2.8
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Spinach,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Parsnip,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Deferred deer,1,2757.8,8,7.26,4438.13,0.41,2.49
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Prunes,1,2765.7,22,19.96,4450.84,1.13,6.86
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,"Bees, honey",1,2765.7,24,21.77,4450.84,1.24,7.48
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,"Currants (black, red)",1,2765.7,24,21.77,4450.84,1.24,7.48
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Beets,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Donkeys/Mules,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Lettuce,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Rabbits,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Fruits and vegetables (non-edible),1,2765.7,24,21.77,4450.84,1.24,7.48
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Wood,1,2757.8,21,19.05,4438.13,1.08,6.53
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Summer savory,1,2757.8,22,19.96,4438.13,1.13,6.84
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Comfrey,1,2765.7,24,21.77,4450.84,1.24,7.48
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Donkeys/Mules,1,2757.8,22,19.96,4438.13,1.13,6.84
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Lettuce,1,2757.8,22,19.96,4438.13,1.13,6.84
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Flowers (edible),1,2757.8,22,19.96,4438.13,1.13,6.84
2024-08-16,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Deferred goat,1,1566.3,14,12.7,2520.65,0.41,2.47
2024-09-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Horses,1,2457.7,20,18.14,3955.18,0.92,5.54
